t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788598163.650091,35.476000,gate_sweep_high_r19,-1.4582648873329163e-05,-3.518536686897278e-05,0.00010685622692108154,-0.00033484246577001063,0.0,0.0,0.0,0.0,0.0001134412487663843,0.00033484246577001063,,,1788598128.1740766
1788598163.656038,35.512000,gate_sweep_high_r19,-1.4582648873329163e-05,-3.518536686897278e-05,0.00010685622692108154,-0.00033484246577001063,0.0,0.0,0.0,0.0,0.0001134412487663843,0.00033484246577001063,1,,1788598128.1440296
1788598163.662941,35.544000,gate_sweep_high_r19,-1.4582648873329163e-05,-3.518536686897278e-05,0.00010685622692108154,-0.00033484246577001063,0.0,0.0,0.0,0.0,0.0001134412487663843,0.00033484246577001063,1,380,1788598128.1189284
1788598163.669826,35.576000,gate_sweep_high_r19,-1.4582648873329163e-05,-3.518536686897278e-05,0.00010685622692108154,-0.00033484246577001063,0.0,0.0,0.0,0.0,0.0001134412487663843,0.00033484246577001063,1,380,1788598128.0938072
1788598163.677572,35.608000,gate_sweep_high_r19,-1.4582648873329163e-05,-3.518536686897278e-05,0.00010685622692108154,-0.00033484246577001063,0.0,0.0,0.0,0.0,0.0001134412487663843,0.00033484246577001063,1,380,1788598128.069558
1788598163.683328,35.644000,gate_sweep_high_r19,-1.7047859728336334e-05,-5.388818681240082e-05,0.00015926361083984375,-0.000679891016377914,0.0,0.0,0.0,0.0,0.00016899545537377755,0.0006798910163779141,1,380,1788598128.0393128
1788598163.719159,35.676000,gate_sweep_high_r19,-4.8063695430755615e-05,-0.00014946237206459045,0.0003364980220794678,-0.0006384984168276868,0.0,0.0,0.0,0.0,0.00037132201435550316,0.0006384984168276868,1,380,1788598128.0431428
1788598163.765630,35.708000,gate_sweep_high_r19,-0.0001357411965727806,-0.0003244951367378235,0.0005507767200469971,-0.0003615725856493792,0.0,0.0,0.0,0.0,0.0006535118679559211,0.0003615725856493792,1,380,1788598128.057612
1788598163.815338,35.740000,gate_sweep_high_r19,-0.00029630307108163834,-0.0005885884165763855,0.000664442777633667,0.0015714160464043426,0.0,0.0,0.0,0.0,0.0009357970072669873,0.0015714160464043426,1,380,1788598128.0753176
1788598163.862683,35.776000,gate_sweep_high_r19,-0.00042638834565877914,-0.0007631462067365646,0.0007327049970626831,0.001424410258416231,0.0,0.0,0.0,0.0,0.0011406383155455827,0.001424410258416231,1,380,1788598128.0866635
1788598163.907788,35.808000,gate_sweep_high_r19,-0.0006397906690835953,-0.000993821769952774,0.0008298903703689575,0.0014342901558129448,0.0,0.0,0.0,0.0,0.0014442063001903933,0.0014342901558129448,1,380,1788598128.0997672
1788598163.952464,35.840000,gate_sweep_high_r19,-0.0008909543976187706,-0.0012140776962041855,0.0009336322546005249,0.0013182354928772768,0.0,0.0,0.0,0.0,0.0017718503260397444,0.0013182354928772768,1,380,1788598128.1124368
1788598164.002689,35.872000,gate_sweep_high_r19,-0.0012664450332522392,-0.0014875587075948715,0.0010029226541519165,0.0023260164149826964,0.0,0.0,0.0,0.0,0.002196034558243953,0.002326016414982697,1,380,1788598128.1306684
1788598164.050515,35.908000,gate_sweep_high_r19,-0.0015294691547751427,-0.0017954669892787933,0.0009676069021224976,0.002671273743108168,0.0,0.0,0.0,0.0,0.00254936084578734,0.0026712737431081675,1,380,1788598128.1424959
1788598164.103164,35.940000,gate_sweep_high_r19,-0.0017213895916938782,-0.002088073641061783,0.0009234100580215454,0.002777040135599822,0.0,0.0,0.0,0.0,0.0028593565346322907,0.002777040135599822,1,380,1788598128.163149
1788598164.153543,35.972000,gate_sweep_high_r19,-0.0020194631069898605,-0.002667538821697235,0.0008024722337722778,0.003384642967461329,0.0,0.0,0.0,0.0,0.0034406331236751303,0.003384642967461329,1,380,1788598128.181527
1788598164.258317,36.004000,gate_sweep_high_r19,-0.0022770753130316734,-0.003236362710595131,0.000611037015914917,0.0027772671273954895,0.0,0.0,0.0,0.0,0.0040040581677302295,0.0027772671273954895,1,380,1788598128.2543015
1788598164.319198,36.040000,gate_sweep_high_r19,-0.002411351539194584,-0.0035274457186460495,0.0004893988370895386,0.0039215230015226,0.0,0.0,0.0,0.0,0.004300813965438987,0.0039215230015226,1,380,1788598128.2791796
1788598164.368467,36.072000,gate_sweep_high_r19,-0.0025715958327054977,-0.003900500014424324,0.00042216479778289795,0.0035391372724617237,0.0,0.0,0.0,0.0,0.004690973097961606,0.0035391372724617237,1,380,1788598128.2964432
1788598164.419262,36.104000,gate_sweep_high_r19,-0.0026477156206965446,-0.004118757322430611,0.0005127787590026855,0.0037271455070274208,0.0,0.0,0.0,0.0,0.00492315975211455,0.0037271455070274208,1,380,1788598128.3152437
1788598164.463748,36.136000,gate_sweep_high_r19,-0.0026808101683855057,-0.004235018044710159,0.0006062537431716919,0.0037372315213500653,0.0,0.0,0.0,0.0,0.00504872900828015,0.0037372315213500653,1,380,1788598128.3277307
1788598164.516390,36.172000,gate_sweep_high_r19,-0.002695114351809025,-0.004339046776294708,0.0007667392492294312,0.003686284461822596,0.0,0.0,0.0,0.0,0.005165158020090904,0.003686284461822596,1,380,1788598128.344374
1788598164.564864,36.204000,gate_sweep_high_r19,-0.00270902831107378,-0.004343189299106598,0.000932648777961731,0.003477689744218524,0.0,0.0,0.0,0.0,0.005203072305965662,0.003477689744218524,1,380,1788598128.360836
1788598164.616760,36.236000,gate_sweep_high_r19,-0.0026834839954972267,-0.004286652430891991,0.0011519044637680054,0.003686050813115246,0.0,0.0,0.0,0.0,0.005186844831977397,0.003686050813115246,1,380,1788598128.3807437
1788598164.674903,36.268000,gate_sweep_high_r19,-0.002622228115797043,-0.004135364666581154,0.0014564841985702515,0.003494329354500918,0.0,0.0,0.0,0.0,0.005108685490179367,0.0034943293545009186,1,380,1788598128.406882
1788598164.719951,36.304000,gate_sweep_high_r19,-0.002616649493575096,-0.00395478680729866,0.0017022639513015747,0.002842298363085285,0.0,0.0,0.0,0.0,0.005038342567086044,0.002842298363085285,1,380,1788598128.4159355
1788598164.766120,36.336000,gate_sweep_high_r19,-0.002665869891643524,-0.003798648715019226,0.0019018203020095825,0.002985415735316618,0.0,0.0,0.0,0.0,0.005015327985329025,0.002985415735316618,1,380,1788598128.430102
1788598164.814380,36.368000,gate_sweep_high_r19,-0.002754924353212118,-0.0036077816039323807,0.0022240132093429565,0.0026607258974494373,0.0,0.0,0.0,0.0,0.005054891793987886,0.0026607258974494373,1,380,1788598128.44636
