t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788718917.635926,37.984000,r2_none_r134,-0.00011421460658311844,-0.000253528356552124,-0.00010129809379577637,9.780060322776364e-06,0.0,0.0,0.0,0.0,0.00029594409563229226,9.780060322776364e-06,1,3,1788718879.6519065
1788718917.680086,38.020000,r2_none_r134,-0.00027114711701869965,-0.0005009826272726059,-0.00019341707229614258,0.0006064989495390868,0.0,0.0,0.0,0.0,0.0006015933142515186,0.0006064989495390868,1,3,1788718879.660062
1788718917.726181,38.052000,r2_none_r134,-0.0004380149766802788,-0.0006709452718496323,-0.0002568364143371582,0.0013087318674379447,0.0,0.0,0.0,0.0,0.0008414211914036695,0.0013087318674379447,1,3,1788718879.6741636
1788718917.773038,38.084000,r2_none_r134,-0.0006957994773983955,-0.0008730236440896988,-0.00034305453300476074,0.0008694000714754001,0.0,0.0,0.0,0.0,0.001167901369338461,0.0008694000714754001,1,3,1788718879.6890147
1788718917.816480,38.116000,r2_none_r134,-0.0010856976732611656,-0.0010685473680496216,-0.0004420280456542969,0.0022855950473431833,0.0,0.0,0.0,0.0,0.0015861657254635907,0.0022855950473431837,1,3,1788718879.7004626
1788718917.862548,38.152000,r2_none_r134,-0.001441633328795433,-0.001187305897474289,-0.0005213618278503418,0.002940249889040025,0.0,0.0,0.0,0.0,0.0019390255553783909,0.0029402498890400254,1,3,1788718879.7105312
1788718917.905442,38.184000,r2_none_r134,-0.0018292255699634552,-0.0012945998460054398,-0.0005934238433837891,0.0033223951303776203,0.0,0.0,0.0,0.0,0.0023182335527253987,0.0033223951303776203,1,3,1788718879.7214217
1788718917.949346,38.216000,r2_none_r134,-0.0021453741937875748,-0.0013775229454040527,-0.0006417632102966309,0.003122001139738521,0.0,0.0,0.0,0.0,0.00262907967064039,0.0031220011397385204,1,3,1788718879.7333248
1788718917.997128,38.248000,r2_none_r134,-0.002727004699409008,-0.0015245210379362106,-0.0007333457469940186,0.004709958856857918,0.0,0.0,0.0,0.0,0.0032091299460045445,0.004709958856857918,1,3,1788718879.7491076
1788718918.040782,38.284000,r2_none_r134,-0.003198120277374983,-0.0016065612435340881,-0.0008304715156555176,0.004499423558284213,0.0,0.0,0.0,0.0,0.0036740570594504932,0.004499423558284213,1,3,1788718879.7567575
1788718918.086351,38.316000,r2_none_r134,-0.0036707730032503605,-0.0016522537916898727,-0.0009428262710571289,0.004732655732372823,0.0,0.0,0.0,0.0,0.004134421169999583,0.004732655732372823,1,3,1788718879.770325
1788718918.130795,38.348000,r2_none_r134,-0.0042729186825454235,-0.0016589965671300888,-0.0010972321033477783,0.0038018796750107888,0.0,0.0,0.0,0.0,0.004713175359140813,0.0038018796750107888,1,3,1788718879.7827702
1788718918.175127,38.380000,r2_none_r134,-0.004753039684146643,-0.001601317897439003,-0.0012546777725219727,0.003976673407063953,0.0,0.0,0.0,0.0,0.005170089125014383,0.003976673407063953,1,3,1788718879.7951107
1788718918.218624,38.416000,r2_none_r134,-0.005115359555929899,-0.0015301220118999481,-0.0013968050479888916,0.005008333345303654,0.0,0.0,0.0,0.0,0.005518989137498943,0.005008333345303654,1,3,1788718879.8026054
1788718918.263019,38.448000,r2_none_r134,-0.005743883084505796,-0.0013803429901599884,-0.0016879737377166748,0.005018660276146397,0.0,0.0,0.0,0.0,0.006143842038836679,0.005018660276146398,1,3,1788718879.8150005
1788718918.307911,38.480000,r2_none_r134,-0.0062456498853862286,-0.0012481212615966797,-0.00197446346282959,0.005182841731885449,0.0,0.0,0.0,0.0,0.006668167299980086,0.005182841731885449,1,3,1788718879.8278902
1788718918.353425,38.512000,r2_none_r134,-0.006748544983565807,-0.0010855123400688171,-0.0022939443588256836,0.004205187364726817,0.0,0.0,0.0,0.0,0.00720994987201999,0.004205187364726817,1,3,1788718879.8414075
1788718918.397555,38.548000,r2_none_r134,-0.0073568110819906,-0.000822095200419426,-0.002724558115005493,0.005043249266683105,0.0,0.0,0.0,0.0,0.007888074970275995,0.005043249266683105,1,3,1788718879.8495398
1788718918.446874,38.580000,r2_none_r134,-0.007797912461683154,-0.0005704928189516068,-0.00308188796043396,0.00524790557955289,0.0,0.0,0.0,0.0,0.008404221214200432,0.005247905579552889,1,3,1788718879.8668554
1788718918.502134,38.612000,r2_none_r134,-0.008105730172246695,-0.000383501872420311,-0.003353685140609741,0.0049006842834420404,0.0,0.0,0.0,0.0,0.008780497670050763,0.0049006842834420404,1,3,1788718879.8901162
1788718918.600212,38.644000,r2_none_r134,-0.008525106823071837,-9.032152593135834e-05,-0.0038246512413024902,0.0045404356423185835,0.0,0.0,0.0,0.0,0.009344172592607076,0.0045404356423185835,1,3,1788718879.9561894
1788718918.646184,38.680000,r2_none_r134,-0.008776935515925288,0.00011402368545532227,-0.004198729991912842,0.004782905361223861,0.0,0.0,0.0,0.0,0.009730207191861021,0.004782905361223861,1,3,1788718879.9661684
1788718918.691214,38.712000,r2_none_r134,-0.008977543795481324,0.0002646222710609436,-0.004548311233520508,0.0048630851478493956,0.0,0.0,0.0,0.0,0.010067445188482306,0.0048630851478493956,1,3,1788718879.9791954
1788718918.735446,38.744000,r2_none_r134,-0.009168070158921182,0.00034088827669620514,-0.004864424467086792,0.0038072363088975645,0.0,0.0,0.0,0.0,0.010384235198226328,0.0038072363088975645,1,3,1788718879.9914262
1788718918.782854,38.776000,r2_none_r134,-0.009403091506101191,0.00034955888986587524,-0.005239814519882202,0.004228210960848426,0.0,0.0,0.0,0.0,0.01077014287242119,0.004228210960848426,1,3,1788718880.0068393
1788718918.827977,38.812000,r2_none_r134,-0.009532943600788713,0.00032064318656921387,-0.005472630262374878,0.004581302455733249,0.0,0.0,0.0,0.0,0.010996795339441989,0.004581302455733249,1,3,1788718880.0159602
1788718918.872622,38.844000,r2_none_r134,-0.009679839131422341,0.00025707855820655823,-0.0057884156703948975,0.004542691157936077,0.0,0.0,0.0,0.0,0.011281450747513725,0.004542691157936077,1,3,1788718880.0286016
1788718918.918263,38.876000,r2_none_r134,-0.00980257586343214,0.0001723412424325943,-0.006105780601501465,0.0034152028694566287,0.0,0.0,0.0,0.0,0.01154992432078484,0.0034152028694566287,1,3,1788718880.042247
1788718919.006205,38.908000,r2_none_r134,-0.00992808531736955,3.23709100484848e-05,-0.006505757570266724,0.004398559079056472,0.0,0.0,0.0,0.0,0.011869827610705598,0.004398559079056471,1,3,1788718880.098187
1788718919.068961,38.944000,r2_none_r134,-0.010025146184489131,-7.659569382667542e-05,-0.006828099489212036,0.0038211893968754193,0.0,0.0,0.0,0.0,0.012129813088224708,0.0038211893968754193,1,3,1788718880.1249406
1788718919.113509,38.976000,r2_none_r134,-0.010119893122464418,-0.00015097111463546753,-0.00705757737159729,0.004929447680319203,0.0,0.0,0.0,0.0,0.012338736865807578,0.004929447680319203,1,3,1788718880.137485
1788718919.160379,39.008000,r2_none_r134,-0.010343860427383333,-0.0002730712294578552,-0.007440000772476196,0.005927404859033584,0.0,0.0,0.0,0.0,0.012744552872972473,0.0059274048590335845,1,3,1788718880.1523578
1788718919.205968,39.040000,r2_none_r134,-0.010539754439378157,-0.0003868360072374344,-0.0077477991580963135,0.006433099455785479,0.0,0.0,0.0,0.0,0.013086804710588637,0.006433099455785479,1,3,1788718880.1659496
1788718919.251563,39.076000,r2_none_r134,-0.010728551857027924,-0.0005153212696313858,-0.008055567741394043,0.007239957139867268,0.0,0.0,0.0,0.0,0.013426077334652148,0.007239957139867268,1,3,1788718880.1755426
1788718919.297937,39.108000,r2_none_r134,-0.010949720512144268,-0.000684758648276329,-0.0084553062915802,0.007216707359011767,0.0,0.0,0.0,0.0,0.013851262692798006,0.007216707359011767,1,3,1788718880.1899216
1788718919.342589,39.140000,r2_none_r134,-0.011106594582088292,-0.000811651349067688,-0.008780628442764282,0.007501676486643851,0.0,0.0,0.0,0.0,0.014181489941934786,0.007501676486643851,1,3,1788718880.2025676
1788718919.387087,39.172000,r2_none_r134,-0.011209283693460748,-0.0008962135761976242,-0.009039133787155151,0.006969325629309013,0.0,0.0,0.0,0.0,0.014427653285158186,0.006969325629309013,1,3,1788718880.2150702
