t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788721278.035951,37.756000,r2_none_r102,4.246365278959274e-05,-0.00012090802192687988,-9.211897850036621e-05,0.00015390140080692903,0.0,0.0,0.0,0.0,0.00015782210800282983,0.00015390140080692903,1,4,1788721240.2799332
1788721278.083075,37.788000,r2_none_r102,0.0001539476215839386,-0.000363912433385849,-0.0002757608890533447,0.0005161035762222214,0.0,0.0,0.0,0.0,0.0004818466532992137,0.0005161035762222214,1,4,1788721240.295058
1788721278.131045,37.820000,r2_none_r102,0.0003147199749946594,-0.0005950033664703369,-0.0004653036594390869,0.0004006271198287196,0.0,0.0,0.0,0.0,0.000818281836691417,0.0004006271198287196,1,4,1788721240.3110266
1788721278.179402,37.852000,r2_none_r102,0.0006457967683672905,-0.0008399821817874908,-0.0007143318653106689,-0.0006580114193904161,0.0,0.0,0.0,0.0,0.0012778472309131201,0.0006580114193904161,1,4,1788721240.3273845
1788721278.224968,37.888000,r2_none_r102,0.0009144358336925507,-0.0009680353105068207,-0.0008447617292404175,-0.0002783641551627389,0.0,0.0,0.0,0.0,0.0015769932262119223,0.0002783641551627389,1,4,1788721240.3369515
1788721278.270244,37.920000,r2_none_r102,0.0013190917670726776,-0.0011011622846126556,-0.0009988993406295776,-0.0007019619811496458,0.0,0.0,0.0,0.0,0.0019875515992603785,0.0007019619811496458,1,4,1788721240.3502223
1788721278.321561,37.952000,r2_none_r102,0.0017969543114304543,-0.001196533441543579,-0.0011367052793502808,-0.0010433407428306794,0.0,0.0,0.0,0.0,0.0024398434306740708,0.0010433407428306794,1,4,1788721240.3695421
1788721278.370638,37.984000,r2_none_r102,0.00250161811709404,-0.0012682676315307617,-0.0012832581996917725,-0.002768657805363404,0.0,0.0,0.0,0.0,0.003084371507461114,0.002768657805363404,1,4,1788721240.3866215
1788721278.416577,38.020000,r2_none_r102,0.003145079128444195,-0.0012581460177898407,-0.0013667941093444824,-0.003223327369396192,0.0,0.0,0.0,0.0,0.0036527496853185145,0.003223327369396192,1,4,1788721240.3965573
1788721278.462807,38.052000,r2_none_r102,0.0036860117688775063,-0.0012151002883911133,-0.0014083236455917358,-0.0025834465785830084,0.0,0.0,0.0,0.0,0.0041287439932604746,0.0025834465785830084,1,4,1788721240.4107895
1788721278.508178,38.084000,r2_none_r102,0.004633161239326,-0.0011035725474357605,-0.0014730095863342285,-0.003232086048941877,0.0,0.0,0.0,0.0,0.004985359834403052,0.0032320860489418774,1,4,1788721240.4241593
1788721278.555323,38.116000,r2_none_r102,0.005439107306301594,-0.0009654536843299866,-0.001510903239250183,-0.0038740712890725565,0.0,0.0,0.0,0.0,0.005727025205499485,0.0038740712890725565,1,4,1788721240.4393055
1788721278.600788,38.152000,r2_none_r102,0.006268699653446674,-0.0008085854351520538,-0.0015212148427963257,-0.0036237988981576976,0.0,0.0,0.0,0.0,0.006501115315775159,0.0036237988981576976,1,4,1788721240.4487698
1788721278.650082,38.184000,r2_none_r102,0.0072951121255755424,-0.0006174631416797638,-0.0015079528093338013,-0.0033470829207091985,0.0,0.0,0.0,0.0,0.007474880823881412,0.0033470829207091985,1,4,1788721240.4660635
