t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788713877.286119,37.060000,r2_none_r110,0.0001101512461900711,0.0005911565385758877,0.0001437664031982422,0.0001841243136057683,0.0,0.0,0.0,0.0,0.0006182783586919489,0.0001841243136057683,,,1788713840.2261038
1788713877.330667,37.096000,r2_none_r110,0.0002388153225183487,0.0013944022357463837,0.00035212934017181396,-0.001439430934070805,0.0,0.0,0.0,0.0,0.001457870167584855,0.001439430934070805,1,3,1788713840.2346487
1788713877.375477,37.128000,r2_none_r110,0.00035531632602214813,0.0021951075177639723,0.0005785822868347168,-0.0016828286259721384,0.0,0.0,0.0,0.0,0.0022977171646485725,0.0016828286259721382,1,3,1788713840.2474554
1788713877.419030,37.160000,r2_none_r110,0.0005226600915193558,0.0032109161547850817,0.0008876025676727295,-0.0015665994958368125,0.0,0.0,0.0,0.0,0.003372090515165045,0.0015665994958368125,1,3,1788713840.259007
1788713877.464435,37.192000,r2_none_r110,0.0006710700690746307,0.00399556735646911,0.0011297613382339478,-0.0018546284843155712,0.0,0.0,0.0,0.0,0.004206097266951579,0.0018546284843155712,1,3,1788713840.2724051
1788713877.509034,37.228000,r2_none_r110,0.0008116718381643295,0.004546816402580589,0.0012934356927871704,-0.0018650920217458972,0.0,0.0,0.0,0.0,0.00479638681332321,0.0018650920217458972,1,3,1788713840.281012
1788713877.553874,37.260000,r2_none_r110,0.001110738143324852,0.005396254826337099,0.0015479028224945068,-0.0021969101458388504,0.0,0.0,0.0,0.0,0.005722701156070413,0.0021969101458388504,1,3,1788713840.2938561
1788713877.598092,37.292000,r2_none_r110,0.00139581598341465,0.006030090153217316,0.0017324388027191162,-0.003565817338040159,0.0,0.0,0.0,0.0,0.00642741267701484,0.003565817338040159,1,3,1788713840.3060713
1788713877.642127,37.324000,r2_none_r110,0.0017296038568019867,0.006621529348194599,0.0018991827964782715,-0.005385049779150039,0.0,0.0,0.0,0.0,0.007102328893039644,0.005385049779150038,1,3,1788713840.3181045
1788713877.686946,37.360000,r2_none_r110,0.002217499539256096,0.007328073726966977,0.002075791358947754,-0.008407204329787896,0.0,0.0,0.0,0.0,0.007932646375601704,0.008407204329787896,1,3,1788713840.3269255
1788713877.731028,37.392000,r2_none_r110,0.0026613492518663406,0.007872046437114477,0.00219649076461792,-0.010960786848279495,0.0,0.0,0.0,0.0,0.008595142036496434,0.010960786848279495,1,3,1788713840.3389964
1788713877.776479,37.424000,r2_none_r110,0.003032118082046509,0.008272035513073206,0.002260833978652954,-0.012672420031589412,0.0,0.0,0.0,0.0,0.009095695788231346,0.012672420031589412,1,3,1788713840.3524613
1788713877.820912,37.456000,r2_none_r110,0.003702031448483467,0.008902115747332573,0.0023507773876190186,-0.01582988173734796,0.0,0.0,0.0,0.0,0.009923651341648802,0.01582988173734796,1,3,1788713840.3648963
1788713877.865872,37.492000,r2_none_r110,0.004249725490808487,0.009357357863336802,0.00241127610206604,-0.01876595437748285,0.0,0.0,0.0,0.0,0.010556257166731649,0.018765954377482852,1,3,1788713840.3738525
1788713877.909642,37.524000,r2_none_r110,0.0047664400190114975,0.009779849089682102,0.002441972494125366,-0.02130755312698374,0.0,0.0,0.0,0.0,0.011150229967756496,0.02130755312698374,1,3,1788713840.3856227
1788713877.955145,37.556000,r2_none_r110,0.0052841100841760635,0.01018174597993493,0.0024737417697906494,-0.023771700807849475,0.0,0.0,0.0,0.0,0.011734955003118643,0.02377170080784947,1,3,1788713840.3991258
1788713877.998756,37.588000,r2_none_r110,0.005992855876684189,0.010657370556145906,0.0025275051593780518,-0.027636086874065064,0.0,0.0,0.0,0.0,0.012485277372185072,0.027636086874065064,1,3,1788713840.4107382
