t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788750901.471976,36.568000,r2_2_L0_r07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1788750864.9039516
1788750901.518005,36.600000,r2_2_L0_r07,-2.6785768568515778e-05,-0.0008077695965766907,0.00039505958557128906,0.0004342253290872857,0.0,0.0,0.0,0.0,0.000899600619554719,0.0004342253290872857,1,376,1788750864.9179769
1788750901.564380,36.632000,r2_2_L0_r07,-2.4595297873020172e-05,-0.0014845281839370728,0.0007247477769851685,0.0011458795192049174,0.0,0.0,0.0,0.0,0.0016521768058612581,0.0011458795192049174,1,376,1788750864.9323592
1788750901.609215,36.664000,r2_2_L0_r07,-3.097113221883774e-05,-0.0022068731486797333,0.0010650306940078735,0.0008354041406316791,0.0,0.0,0.0,0.0,0.0024506200612443804,0.0008354041406316792,1,376,1788750864.9451928
1788750901.656839,36.700000,r2_2_L0_r07,-6.276927888393402e-05,-0.003140334039926529,0.0015176236629486084,0.00048707136306886984,0.0,0.0,0.0,0.0,0.003488383500567911,0.00048707136306886984,1,376,1788750864.9568205
1788750901.704187,36.732000,r2_2_L0_r07,-0.00011681579053401947,-0.0039001014083623886,0.0018829107284545898,0.0008261250933628687,0.0,0.0,0.0,0.0,0.004332411538134133,0.0008261250933628687,1,376,1788750864.9721692
1788750901.749177,36.764000,r2_2_L0_r07,-0.00016532838344573975,-0.004457632079720497,0.0021625012159347534,0.0016304123744622248,0.0,0.0,0.0,0.0,0.004957240032663877,0.0016304123744622248,1,376,1788750864.9851587
1788750901.794691,36.796000,r2_2_L0_r07,-0.00021828524768352509,-0.0053299907594919205,0.0026619285345077515,0.0020548027085876787,0.0,0.0,0.0,0.0,0.005961737453834419,0.0020548027085876787,1,376,1788750864.9986725
1788750901.839566,36.832000,r2_2_L0_r07,-0.00023054517805576324,-0.00597144290804863,0.0030629634857177734,0.0018807375775250538,0.0,0.0,0.0,0.0,0.0067151341608376975,0.0018807375775250538,1,376,1788750865.007549
1788750901.883038,36.864000,r2_2_L0_r07,-0.00022630393505096436,-0.006569242104887962,0.003451630473136902,0.0010297163402380393,0.0,0.0,0.0,0.0,0.007424278296692524,0.0010297163402380393,1,376,1788750865.0190165
