t,n_voxels_compared,churn,n_total_voxels
46.0,0,,72587
47.0,16371,0.030499,72778
48.0,16391,0.057861,73088
49.0,16575,0.000313,73066
50.0,16858,0.124258,78184
51.0,21671,0.032308,189713
52.0,2348,0.014117,300962
53.0,19724,0.008721,253574
54.0,37149,0.012907,238693
55.0,38757,0.011318,222636
56.0,98224,0.042903,420564
57.0,109385,0.017831,441593
58.0,79281,0.051630,350947
59.0,132058,0.022218,499798
60.0,202266,0.017518,692081
61.116,210294,0.010615,703465
62.332,227226,0.006074,736353
63.552,230153,0.001408,705671
64.736,210287,0.000185,780134
65.968,220185,0.000042,778021
67.284,260412,0.000290,824808
68.62,258546,0.000000,904837
70.06,264948,0.000000,841752
71.48,243839,0.000000,882561
72.9,252337,0.000000,868751
74.34,260528,0.000000,840782
75.772,235483,0.000000,725373
77.048,213951,0.000000,706822
78.244,190379,0.000000,584487
79.292,175752,0.000000,505589
80.208,165743,0.000000,449030
81.016,151804,0.000000,389059
82.0,133187,0.000000,327762
83.0,119628,0.000000,287426
84.0,104889,0.000000,241246
85.0,91815,0.000000,217327
86.0,78899,0.000000,193814
87.0,67223,0.000000,168211
88.0,57831,0.000000,154727
89.0,48458,0.000000,142686
90.0,41803,0.000000,134139
91.0,33233,0.000000,124037
92.0,24152,0.000000,115091
93.0,22674,0.000000,114584
94.0,22184,0.000000,114296
95.0,22059,0.000000,114095
96.0,21984,0.000000,114489
97.0,22579,0.000000,114391
98.0,22967,0.000000,114250
99.0,15487,0.000000,166516
100.0,20223,0.000000,249210
101.0,0,,143214
102.0,29254,0.211355,161655
