t,replan_count,traj_id,n_matched,delta_p
50.212,1,1,0,
51.132,2,2,1,0.757245
52.636,3,3,0,
53.956,4,4,0,
55.672,5,5,4,2.693980
57.192,6,6,0,
59.272,7,7,3,1.650058
61.252,8,8,0,
63.856,9,9,1,0.773433
65.64,10,10,3,1.505407
66.76,11,11,5,1.286459
68.048,12,12,2,0.351881
69.988,13,13,3,1.348143
71.132,14,14,4,1.413458
73.164,15,15,0,
