t,replan_count,traj_id,n_matched,delta_p
50.228,1,1,0,
51.252,2,2,1,0.763294
53.012,3,3,0,
54.152,4,4,6,2.820023
55.672,5,5,0,
57.784,6,6,3,1.608867
59.168,7,7,2,0.424243
60.76,8,8,0,
63.46,9,9,5,1.401462
64.78,10,10,3,0.845215
66.2,11,11,4,1.669292
67.456,12,12,3,0.781003
68.872,13,13,3,1.147136
70.492,14,14,1,0.307313
72.604,15,15,2,0.860984
