t,n_voxels_compared,churn,n_total_voxels
46.0,0,,70432
47.0,15710,0.001398,70660
48.0,15752,0.001152,70675
49.0,15765,0.002409,70738
50.0,15986,0.001956,73006
51.0,19586,0.003078,169907
52.0,2672,0.007069,274908
53.0,14882,0.003178,246731
54.004,34767,0.008664,224554
55.0,37951,0.012043,220058
56.0,42004,0.001556,229163
57.004,70586,0.015449,307594
58.0,142402,0.025737,538730
59.0,209657,0.016024,727351
60.196,222289,0.008903,734791
61.516,227843,0.008093,730777
62.736,223854,0.000960,689696
63.92,222147,0.001105,756986
65.144,221301,0.000564,896719
66.496,252117,0.000000,903138
67.884,258945,0.000000,869816
69.284,265641,0.000000,859649
70.696,256933,0.000000,869189
72.108,251540,0.000000,857535
73.552,232019,0.000000,838606
74.932,243929,0.000000,877490
76.396,254807,0.000000,834544
77.816,246896,0.000000,679399
79.004,230723,0.000000,555885
80.028,214140,0.000000,481615
81.0,192245,0.000000,394401
82.0,166250,0.000000,318300
83.0,132879,0.000000,263371
84.0,103208,0.000000,227611
85.0,84423,0.000000,207664
86.0,66478,0.000000,176924
87.0,53543,0.000000,157639
88.0,44332,0.000000,141230
89.0,35358,0.000000,130099
90.0,29599,0.000000,124380
91.0,24462,0.000000,118832
92.0,23312,0.000000,117396
93.0,22697,0.000000,116794
94.0,22399,0.000000,116745
95.0,23041,0.000000,116749
96.0,23243,0.000000,116686
97.0,23501,0.000000,125801
98.0,1908,0.000000,215960
99.0,11369,0.000000,156014
100.0,0,,165894
