t,x,y,z,d_min
43.868,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.884,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.904,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.916,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.932,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.948,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.972,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
43.984,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.004,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.016,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.036,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.048,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.064,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.08,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.1,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.116,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.132,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.148,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.164,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.18,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.196,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.212,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.236,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.248,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.268,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.28,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.296,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.312,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.328,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.344,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.364,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.38,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.396,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.412,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.428,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.444,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.46,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.476,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.496,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.512,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.532,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.544,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.564,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.576,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.592,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.608,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.632,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.644,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.66,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.676,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.696,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.708,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.724,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.74,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.76,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.776,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.792,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.808,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.828,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.84,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.86,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.872,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.892,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.908,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.928,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.94,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.956,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.972,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
44.988,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
45.004,1.600046075343439e-08,8.777227160499915e-18,0.009999843685592091,2.2203
