t,replan_count,traj_id,n_matched,delta_p
49.172,1,1,0,
49.932,2,2,3,0.825393
51.58,3,3,0,
52.604,4,4,6,3.102679
54.124,5,5,0,
56.136,6,6,5,1.535340
57.324,7,7,3,0.587617
59.204,8,8,3,0.653500
60.688,9,9,4,1.596127
61.876,10,10,3,0.496407
63.66,11,11,4,0.995767
64.98,12,12,5,1.452354
67.256,13,13,0,
