t,n_voxels_compared,churn,n_total_voxels
43.0,0,,72302
44.0,16514,0.048775,72236
45.0,16500,0.033900,72221
46.0,16492,0.009663,72158
47.0,16466,0.029018,72065
48.0,16460,0.118889,72109
49.0,17150,0.005537,89925
50.0,23029,0.002062,221064
51.0,1796,0.000730,282300
52.0,26652,0.025728,236180
53.0,36657,0.003157,227140
54.0,41768,0.005418,231614
55.0,53302,0.026623,278937
56.0,122116,0.018273,511407
57.0,204326,0.023719,754150
58.208,217979,0.000000,751395
59.436,227422,0.000427,758114
60.672,257941,0.000479,774972
61.912,259772,0.000000,838088
63.232,264930,0.000000,896719
64.648,264353,0.000000,841997
66.036,254238,0.000000,849868
67.42,258269,0.000000,861180
68.84,252161,0.000000,811848
70.228,238869,0.000000,784802
71.56,213718,0.000000,693741
72.736,191504,0.000000,586348
73.756,174994,0.000000,496817
74.652,158400,0.000000,417598
75.408,147648,0.000000,374243
76.1,133621,0.000000,323959
77.0,121186,0.000000,288244
78.0,105195,0.000000,251852
79.0,91702,0.000000,225205
80.0,76167,0.000000,200411
81.0,63471,0.000000,173563
82.0,51703,0.000000,157784
83.0,42123,0.000000,141134
84.0,35960,0.000000,134846
85.0,28622,0.000000,127822
86.0,23280,0.000000,122285
87.0,22537,0.000000,120801
88.0,22794,0.000000,126531
89.0,22986,0.000000,126652
90.004,23418,0.000000,126432
91.0,24002,0.000000,126132
92.0,24173,0.000000,131816
93.0,23901,0.000000,125646
94.0,23006,0.000000,125414
95.0,21742,0.000000,119434
96.0,21780,0.000000,119946
97.0,12703,0.000000,142134
98.0,0,,195969
99.0,36603,0.041412,190608
