t_wall,t_sim,exp_id,gt_x,gt_y,gt_z,gt_dyaw_deg,vslam_x,vslam_y,vslam_z,vslam_dyaw_deg,pos_error_m,yaw_error_deg,vo_state,feature_count,msg_age_s
1788754619.791275,38.712000,r2_2_L2_r19,-4.315190017223358e-05,-0.00014490820467472076,5.9038400650024414e-05,0.0014764097157023478,0.0,0.0,0.0,0.0,0.0001623145311481322,0.0014764097157023478,,,1788754581.0792563
1788754619.838875,38.744000,r2_2_L2_r19,-0.00017422065138816833,-0.0005301833152770996,0.00022047758102416992,0.002952836101850298,0.0,0.0,0.0,0.0,0.0006000479538358609,0.002952836101850298,1,380,1788754581.0948577
1788754619.889399,38.776000,r2_2_L2_r19,-0.0002925824373960495,-0.0008871927857398987,0.00035831332206726074,0.0042933356974244295,0.0,0.0,0.0,0.0,0.001000551826999687,0.0042933356974244295,1,380,1788754581.113363
1788754619.938273,38.812000,r2_2_L2_r19,-0.0004366803914308548,-0.0012909621000289917,0.0005070269107818604,0.005118060126390765,0.0,0.0,0.0,0.0,0.0014540801890640233,0.005118060126390765,1,380,1788754581.1262555
1788754619.982860,38.844000,r2_2_L2_r19,-0.0006594900041818619,-0.0018563810735940933,0.0007142126560211182,0.006935992363183511,0.0,0.0,0.0,0.0,0.0020955136539843617,0.006935992363183511,1,380,1788754581.138837
1788754620.029880,38.876000,r2_2_L2_r19,-0.0008902829140424728,-0.00235612690448761,0.000885307788848877,0.007490976101261758,0.0,0.0,0.0,0.0,0.002669776683185845,0.007490976101261758,1,380,1788754581.153863
1788754620.082133,38.908000,r2_2_L2_r19,-0.001111609861254692,-0.002789318561553955,0.0010192394256591797,0.008016865015139726,0.0,0.0,0.0,0.0,0.0031709341728087255,0.008016865015139726,1,380,1788754581.1741166
1788754620.128085,38.944000,r2_2_L2_r19,-0.0015949849039316177,-0.0035827811807394028,0.0012556910514831543,0.00959965293241066,0.0,0.0,0.0,0.0,0.004117894832266246,0.00959965293241066,1,380,1788754581.1840663
1788754620.174134,38.976000,r2_2_L2_r19,-0.0020616482943296432,-0.004264034330844879,0.0014593303203582764,0.009982999156643867,0.0,0.0,0.0,0.0,0.0049560092259854655,0.009982999156643867,1,380,1788754581.1981132
1788754620.222842,39.008000,r2_2_L2_r19,-0.0025776196271181107,-0.004933573305606842,0.001659691333770752,0.012580395687408803,0.0,0.0,0.0,0.0,0.005808514769482356,0.012580395687408805,1,380,1788754581.214825
1788754620.270408,39.040000,r2_2_L2_r19,-0.0032808203250169754,-0.005724269896745682,0.0019109845161437988,0.014173044744461013,0.0,0.0,0.0,0.0,0.006868981705957198,0.014173044744461013,1,380,1788754581.230388
1788754620.318538,39.076000,r2_2_L2_r19,-0.003896506503224373,-0.006296670064330101,0.0021162331104278564,0.015892651495403726,0.0,0.0,0.0,0.0,0.007701250509259638,0.01589265149540373,1,380,1788754581.2425194
1788754620.361983,39.108000,r2_2_L2_r19,-0.00439881719648838,-0.006688762456178665,0.0022756457328796387,0.01658999432255759,0.0,0.0,0.0,0.0,0.008322721875977861,0.01658999432255759,1,380,1788754581.253963
1788754620.414387,39.140000,r2_2_L2_r19,-0.005097212269902229,-0.00719556026160717,0.002486884593963623,0.018192593743073315,0.0,0.0,0.0,0.0,0.009162000621401186,0.018192593743073315,1,380,1788754581.274368
1788754620.466778,39.172000,r2_2_L2_r19,-0.006042098626494408,-0.007797716185450554,0.002745389938354492,0.020419901890829165,0.0,0.0,0.0,0.0,0.010239555626820005,0.02041990189082916,1,380,1788754581.294757
1788754620.509301,39.208000,r2_2_L2_r19,-0.006836215034127235,-0.00828743539750576,0.0029448866844177246,0.022015120637602165,0.0,0.0,0.0,0.0,0.01113946942384239,0.022015120637602168,1,380,1788754581.3012748
1788754620.556098,39.240000,r2_2_L2_r19,-0.007629258558154106,-0.008792435750365257,0.0031443536281585693,0.02350822968257136,0.0,0.0,0.0,0.0,0.01205817035500754,0.023508229682571356,1,380,1788754581.3160796
1788754620.605120,39.272000,r2_2_L2_r19,-0.008216740563511848,-0.009167030453681946,0.0032990574836730957,0.02422894137643521,0.0,0.0,0.0,0.0,0.012744922640305538,0.02422894137643521,1,380,1788754581.333077
1788754620.652789,39.304000,r2_2_L2_r19,-0.00915982760488987,-0.009772298857569695,0.003552556037902832,0.02514089970375351,0.0,0.0,0.0,0.0,0.013857161365712687,0.02514089970375351,1,380,1788754581.3487656
1788754620.705592,39.340000,r2_2_L2_r19,-0.009876208379864693,-0.010219421237707138,0.003746896982192993,0.025106559503507164,0.0,0.0,0.0,0.0,0.014697458943347187,0.025106559503507164,1,380,1788754581.365565
1788754620.751497,39.372000,r2_2_L2_r19,-0.010556591674685478,-0.010605476796627045,0.0039265453815460205,0.02573899937683224,0.0,0.0,0.0,0.0,0.015470472665797054,0.02573899937683224,1,380,1788754581.3794794
1788754620.801931,39.404000,r2_2_L2_r19,-0.01138349063694477,-0.011036030948162079,0.004156887531280518,0.02504529120041002,0.0,0.0,0.0,0.0,0.0163907764342607,0.02504529120041002,1,380,1788754581.3979115
1788754620.847839,39.436000,r2_2_L2_r19,-0.012032264843583107,-0.0113446656614542,0.004357844591140747,0.024962629931909775,0.0,0.0,0.0,0.0,0.017101685464211962,0.024962629931909775,1,380,1788754581.4118183
1788754620.895037,39.472000,r2_2_L2_r19,-0.012515394017100334,-0.011559372767806053,0.004515022039413452,0.025156995595397528,0.0,0.0,0.0,0.0,0.017624971211458933,0.025156995595397528,1,380,1788754581.423018
1788754620.939966,39.504000,r2_2_L2_r19,-0.01332353986799717,-0.011862581595778465,0.004786640405654907,0.024278450416824075,0.0,0.0,0.0,0.0,0.01847023235110106,0.024278450416824075,1,380,1788754581.4359462
1788754620.990276,39.536000,r2_2_L2_r19,-0.013957353308796883,-0.01205658819526434,0.005013197660446167,0.024408646159786048,0.0,0.0,0.0,0.0,0.01911285381829395,0.024408646159786048,1,380,1788754581.4542572
1788754621.041272,39.568000,r2_2_L2_r19,-0.014548877254128456,-0.01221612561494112,0.005245804786682129,0.0240354064155609,0.0,0.0,0.0,0.0,0.01970842515919763,0.0240354064155609,1,380,1788754581.473248
1788754621.092718,39.604000,r2_2_L2_r19,-0.015234550461173058,-0.012374778278172016,0.0055550336837768555,0.02327002248817806,0.0,0.0,0.0,0.0,0.020398163260838993,0.02327002248817806,1,380,1788754581.4886978
